AS             ,convergence_time
1              ,249            
2              ,224            
3              ,212            
4              ,192            
5              ,189            
6              ,184            
7              ,160            
8              ,150            
9              ,144            
10             ,108            
11             ,104            
12             ,95             
13             ,83             
14             ,66             
15             ,38             
16             ,27             
17             ,22             



time           ,converged_ASes ,non_converged_ASes,total_nodes    
43  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
44  ,0.8 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.8 ,0   ,0   ,0   
45  ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   
46  ,1.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.6 ,0   ,0   ,0   ,0   
47  ,0.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.4 ,0   ,0   ,0   ,0   
48  ,0.3 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.3 ,0   ,0   ,0   ,0   ,0   
49  ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0   ,0   
50  ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.4 ,0.1 ,0   ,0   ,0   ,0   ,0   
51  ,1.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.6 ,0   ,0   ,0   ,0   ,0   ,0   
52  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
53  ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   
54  ,1.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.4 ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   
55  ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
56  ,0.8 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.8 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
57  ,2.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.2 ,0   ,0   ,0   ,0.8 ,0   ,0   ,0   ,0   
58  ,1.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.2 ,0   ,0   ,0   ,0   
59  ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
60  ,1.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
61  ,0.9 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.4 ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
62  ,1.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.7 ,0   ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
63  ,0.7 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.3 ,0   ,0   ,0   ,0.4 ,0   ,0   ,0   ,0   ,0   
64  ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0   ,0   
65  ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0   ,0.8 ,0   ,0   ,0   
66  ,3.0 ,0   ,0   ,0   ,0   ,0   ,0   ,1.4 ,0   ,1.4 ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   
67  ,1.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0.4 ,0   ,0   ,0   ,0   ,0   ,0   
68  ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   
69  ,2.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.2 ,0   ,1.8 ,0   ,0   ,0   ,0   
70  ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   ,0   
71  ,1.5 ,0   ,0   ,0   ,0   ,0.4 ,0   ,0.6 ,0   ,0   ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
72  ,3.6 ,0   ,0   ,0   ,0   ,1.4 ,0   ,1.2 ,0.5 ,0   ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
73  ,0.9 ,0   ,0   ,0   ,0   ,0.2 ,0   ,0.2 ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
74  ,1.0 ,0   ,0   ,0   ,0.4 ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
75  ,1.9 ,0   ,0   ,0   ,0.5 ,0   ,0   ,0   ,0   ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
76  ,0.3 ,0   ,0   ,0   ,0.1 ,0   ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
77  ,0.7 ,0   ,0   ,0   ,0   ,0   ,0.7 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
78  ,0.3 ,0   ,0   ,0   ,0   ,0   ,0.1 ,0   ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   ,0   ,0   
79  ,0.7 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.7 ,0   ,0   ,0   ,0   ,0   
80  ,1.1 ,0   ,0   ,0   ,0   ,0   ,0   ,1.0 ,0   ,0   ,0   ,0   ,0.1 ,0   ,0   ,0   ,0   ,0   
81  ,1.6 ,0   ,0   ,0   ,0   ,0   ,0   ,1.0 ,0   ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0   
82  ,2.9 ,0   ,0   ,0   ,0   ,1.2 ,0   ,0   ,0.5 ,0   ,0   ,0   ,0   ,1.2 ,0   ,0   ,0   ,0   
83  ,1.1 ,0   ,0   ,0   ,0   ,0.6 ,0   ,0   ,0.3 ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   ,0   
84  ,0.7 ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0.1 ,0   ,0   ,0.4 ,0   ,0   ,0   ,0   ,0   ,0   
85  ,3.2 ,0   ,0   ,0.6 ,0.6 ,0.6 ,0   ,0   ,0   ,0   ,0   ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   
86  ,3.0 ,0   ,0   ,1.2 ,0.4 ,1.2 ,0   ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   
87  ,0.6 ,0   ,0   ,0.4 ,0   ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
88  ,2.1 ,0   ,0.6 ,1.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
89  ,1.7 ,0   ,0.4 ,0.8 ,0   ,0   ,0   ,0   ,0   ,0   ,0.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
90  ,1.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
91  ,1.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1.0 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
92  ,0.6 ,0   ,0   ,0   ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
93  ,0.4 ,0   ,0   ,0   ,0.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
94  ,3.5 ,0   ,0   ,0   ,0   ,0   ,0   ,1.2 ,0   ,1.6 ,0   ,0   ,0.7 ,0   ,0   ,0   ,0   ,0   
95  ,1.5 ,0   ,0   ,0   ,0   ,0   ,0   ,0.8 ,0   ,0.4 ,0   ,0   ,0.3 ,0   ,0   ,0   ,0   ,0   
96  ,1.2 ,0   ,0   ,0   ,0   ,0   ,0.6 ,0   ,0.6 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
97  ,0.6 ,0   ,0   ,0   ,0   ,0   ,0.3 ,0   ,0.3 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
98  ,0.1 ,0   ,0   ,0   ,0   ,0   ,0.1 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
99  ,0.2 ,0   ,0   ,0   ,0   ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
100 ,1.4 ,0   ,0   ,0   ,0   ,1.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
101 ,0.4 ,0   ,0   ,0   ,0   ,0.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
102 ,1.9 ,0   ,0   ,0   ,0.3 ,0   ,0   ,0   ,0   ,0   ,0   ,1.6 ,0   ,0   ,0   ,0   ,0   ,0   
