AS             ,convergence_time
1              ,177            
2              ,177            
3              ,148            
4              ,148            
5              ,145            
6              ,147            
7              ,118            
8              ,117            
9              ,90             
10             ,88             
11             ,60             
12             ,59             
13             ,30             
14             ,30             
15             ,0              
16             ,0              
17             ,0              



time           ,converged_ASes ,non_converged_ASes,total_nodes    
77  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
78  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
79  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
80  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
81  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
82  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
83  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
84  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
85  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
86  ,0.3 ,0   ,0   ,0   ,0   ,0   ,0   ,0.1 ,0   ,0.1 ,0   ,0.1 ,0   ,0   ,0   ,0   ,0   ,0   
87  ,2.2 ,0   ,0   ,0.6 ,0.2 ,0.6 ,0.1 ,0.4 ,0   ,0.1 ,0   ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   
88  ,6.4 ,0   ,0.5 ,0.8 ,0.3 ,0.7 ,0.5 ,1.0 ,0.8 ,1.2 ,0.2 ,0.4 ,0   ,0   ,0   ,0   ,0   ,0   
89  ,3.7 ,0   ,0.5 ,0.6 ,0.5 ,0.7 ,0.4 ,0.5 ,0.1 ,0.4 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
90  ,0.2 ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0.1 ,0   ,0.1 ,0   ,0   ,0   ,0   ,0   ,0   ,0   
91  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
92  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
93  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
